"vegType","PFT","woodyNonWoody","site","iLMA.early.mean","iLMA.early.sd","iLMA.late.mean","iLMA.late.sd","iLMA.delta.mean","iLMA.delta.sd","iLMA.rOfChange.mean","iLMA.rOfChange.sd","LMA.early.mean","LMA.early.sd","LMA.late.mean","LMA.late.sd","LMA.delta.mean","LMA.delta.sd","LMA.rOfChange.mean","LMA.rOfChange.sd","VPDmean.early","VPDmean.late","VPDmax.early","VPDmax.late","VPDmin.early","VPDmin.late","precip.early","precip.late","Tmean.early","Tmean.late","Tmax.early","Tmax.late","Tmin.early","Tmin.late","SPEI12.early","SPEI12.late","VPDmean.delta","VPDmean.rOfChange","VPDmax.delta","VPDmax.rOfChange","VPDmin.delta","VPDmin.rOfChange","precip.delta","precip.rOfChange","Tmean.delta","Tmean.rOfChange","Tmax.delta","Tmax.rOfChange","Tmin.delta","Tmin.rOfChange","SPEI12.delta","SPEI12.rOfChange","SPEImin","SPEImax","nSPEIwet1.0","nSPEIwet1.5","nSPEIwet2.0","nSPEIdry1.0","nSPEIdry1.5","nSPEIdry2.0"
"Evergreen conifer f.","conifer","woody","SNP4",7.96959213213393,NA,5.92362705345144,NA,-2.04596507868249,NA,-0.0681988359560831,NA,0.0298424288884582,NA,0.0210032459590262,NA,-0.00883918292943198,NA,-0.000294639430981066,NA,0.408622867288278,0.510464355737819,0.972261044863878,1.17186529448871,0.125986519602992,0.132251504268782,1045.4596441148,973.913626137871,4.97620432545307,5.76549145168621,21.7334873020492,22.7470454606854,-7.71209591641184,-8.13189281120996,0.347711850083683,-0.299295598985435,0.101841488449541,0.00339471628165136,0.199604249624832,0.0066534749874944,0.00626498466579001,0.000208832822193,-71.5460179769331,-2.38486726589777,0.789287126233147,0.0263095708744382,1.01355815863617,0.0337852719545391,-0.419796894798121,-0.013993229826604,-0.647007449069118,-0.0215669149689706,-1.85655091224727,2.22075846770648,4,2,1,6,2,0
"Evergreen conifer f.","conifer","woody","SNP5",6.14540093006532,NA,4.56249223897529,NA,-1.58290869109003,NA,-0.0527636230363344,NA,0.0219613756381612,NA,0.0151227352200449,NA,-0.00683864041811628,NA,-0.000227954680603876,NA,0.501709460773628,0.653059210729164,1.22407492761805,1.50217840103879,0.136421491144173,0.145550692902312,1064.90363656089,1013.47608457964,8.44437607863412,9.4963247484468,25.7213032473294,26.9419245271495,-4.5668835907134,-4.6827593772428,0.360703204380797,-0.340094842467861,0.151349749955536,0.00504499166518454,0.278103473420737,0.00927011578069124,0.00912920175813886,0.000304306725271295,-51.4275519812526,-1.71425173270842,1.05194866981267,0.0350649556604225,1.2206212798201,0.0406873759940035,-0.115875786529398,-0.0038625262176466,-0.700798046848658,-0.0233599348949553,-1.74746370593205,2.15774456898678,3,2,1,6,1,0
"Evergreen conifer f.","conifer","woody","SOAP",4.97501492893578,NA,4.25884702841552,NA,-0.716167900520256,NA,-0.0238722633506752,NA,0.0169049569974812,NA,0.0138108968168636,NA,-0.00309406018061766,NA,-0.000103135339353922,NA,0.732160272287257,0.987795802312229,1.84681450383422,2.35699962057611,0.169554303489137,0.192007472089314,1047.40062597498,1046.23489933241,12.9243503833464,14.4265491506518,30.9840818125107,33.0673100053247,-0.624674831886668,-0.402248758433621,0.347085351349571,-0.328232741074949,0.255635530024972,0.00852118433416575,0.510185116741896,0.0170061705580632,0.0224531686001769,0.000748438953339231,-1.16572664257296,-0.0388575547524321,1.50219876730536,0.050073292243512,2.08322819281398,0.0694409397604659,0.222426073453047,0.0074142024484349,-0.67531809242452,-0.0225106030808173,-1.67036104354639,1.86450108439604,4,2,0,8,3,0
"Evergreen conifer f.","conifer","woody","TALL",3.89884257862009,NA,4.00442657982166,NA,0.105584001201566,NA,0.00351946670671888,NA,0.0122555695924124,NA,0.0127117241528035,NA,0.000456154560391128,NA,1.52051520130376e-05,NA,0.692066532366439,0.772874478064744,1.31481811564373,1.33331936319062,0.283695695647396,0.307579563140466,1245.04509229861,1304.81761812401,17.6413878215306,18.9141021435424,33.0685485418365,33.5517443691064,1.41643491909612,2.982817925769,0.153609854588983,0.160951050602846,0.0808079456983043,0.00269359818994348,0.0185012475468866,0.000616708251562888,0.02388386749307,0.000796128916435666,59.7725258253961,1.9924175275132,1.27271432201177,0.0424238107337256,0.483195827269924,0.0161065275756641,1.56638300667288,0.0522127668890959,0.00734119601386332,0.000244706533795444,-2.19720722721943,2.07378910617718,7,2,1,6,2,2
"Evergreen conifer f.","conifer","woody","WG-1",7.06423772817462,NA,6.50624151191643,NA,-0.557996216258186,NA,-0.0185998738752729,NA,0.0259310262570328,NA,0.0235203152039326,NA,-0.0024107110531002,NA,-8.03570351033399e-05,NA,0.27019005837679,0.356371340575687,0.637930214018008,0.841078200850438,0.0770554890556935,0.0825661671262454,887.281959212858,706.656413796203,-0.621929435530648,0.631881250098635,18.4494794811781,20.0703846651057,-16.236950319869,-15.5555840261054,0.696972946402716,-0.142566891558124,0.0861812821988977,0.00287270940662992,0.203147986832431,0.00677159956108102,0.00551067807055189,0.000183689269018396,-180.625545416655,-6.02085151388848,1.25381068562928,0.0417936895209761,1.62090518392764,0.0540301727975881,0.681366293763558,0.0227122097921186,-0.83953983796084,-0.0279846612653613,-3.78626644931954,1.37400828572467,3,0,0,6,3,1
"Evergreen conifer f.","conifer","woody","WG-4",5.31948125781569,NA,5.41912446033491,NA,0.099643202519224,NA,0.00332144008397413,NA,0.0183931548781411,NA,0.0188236434059849,NA,0.000430488527843845,NA,1.43496175947948e-05,NA,0.232092789059739,0.303963724676006,0.535225846278266,0.706155378845714,0.0716212265185956,0.0764169628704597,931.833970185171,735.744649023482,-2.46191868905886,-1.24935905677069,16.3068626382347,17.882476044135,-17.2348224412707,-16.8422678840786,0.704451299020633,-0.118009608666336,0.0718709356162667,0.00239569785387556,0.170929532567448,0.0056976510855816,0.00479573635186407,0.000159857878395469,-196.089321161689,-6.53631070538963,1.21255963228817,0.0404186544096055,1.57561340590025,0.0525204468633416,0.392554557192096,0.0130851519064032,-0.822460907686969,-0.0274153635895656,-4.11512168517745,1.4010413541513,3,0,0,6,3,1
"Evergreen conifer f.","conifer","woody","WREF",5.70150697999798,NA,4.7161947454634,NA,-0.985312234534582,NA,-0.0328437411511527,NA,0.0200436206056853,NA,0.0157867761588255,NA,-0.00425684444685977,NA,-0.000141894814895326,NA,0.323473740744119,0.373224003580251,0.933193944739054,1.10962174685268,0.0537411722706809,0.052678836136404,2000.89424847964,2091.82705717306,7.82490781844191,8.78502453360034,26.1721734352651,27.6407299202933,-4.21696365911057,-3.17911488849114,-0.323716853622638,0.273940782607989,0.0497502628361322,0.00165834209453774,0.176427802113629,0.00588092673712098,-0.00106233613427698,-3.54112044758992e-05,90.9328086934238,3.03109362311413,0.960116715158431,0.032003890505281,1.46855648502813,0.0489518828342709,1.03784877061943,0.0345949590206477,0.597657636230627,0.0199219212076876,-1.8067833483133,1.85693038174953,8,2,0,7,3,0
"Evergreen conifer f.","mixed","woody","BONA",3.57340250733358,NA,4.09092224770432,NA,0.517519740370734,NA,0.0172506580123578,NA,0.0108495708524333,NA,0.013085411386757,NA,0.00223584053432371,NA,7.45280178107903e-05,NA,0.206443196642341,0.236116896997424,0.590219650855848,0.675692880310733,0.0308900924277515,0.0398748536143273,512.275290022984,581.964118842072,-3.46555554246295,-1.35093669986624,18.7955878798794,19.9111842798496,-24.4771073356322,-20.7952575229388,0.329938044511175,0.380823791846358,0.0296737003550832,0.000989123345169439,0.0854732294548858,0.00284910764849619,0.00898476118657583,0.000299492039552528,69.6888288190877,2.32296096063626,2.11461884259671,0.0704872947532237,1.11559639997025,0.037186546665675,3.68184981269336,0.122728327089779,0.050885747335183,0.00169619157783943,-1.77671831544045,1.98071980265492,7,2,0,7,3,0
"Grassland","grass","nonWoody","Ba",3.62629936395369,NA,3.53879539476446,NA,-0.0875039691892323,NA,-0.00291679897297441,NA,0.0110781011420891,NA,0.0107000577440009,NA,-0.000378043398088238,NA,-1.26014466029413e-05,NA,0.232092789059739,0.303963724676006,0.535225846278266,0.706155378845714,0.0716212265185956,0.0764169628704597,931.833970185171,735.744649023482,-2.46191868905886,-1.24935905677069,16.3068626382347,17.882476044135,-17.2348224412707,-16.8422678840786,0.704446211804237,-0.117978196541432,0.0718709356162667,0.00239569785387556,0.170929532567448,0.0056976510855816,0.00479573635186407,0.000159857878395469,-196.089321161689,-6.53631070538963,1.21255963228817,0.0404186544096055,1.57561340590025,0.0525204468633416,0.392554557192096,0.0130851519064032,-0.822424408345669,-0.0274141469448556,-4.11511738392432,1.4010355903988,3,0,0,6,3,1
"Grassland","grass","nonWoody","CBT",3.62663938038146,NA,3.9337957307959,NA,0.307156350414433,NA,0.0102385450138144,NA,0.0110795701150621,NA,0.0124065776957575,NA,0.00132700758069547,NA,4.42335860231822e-05,NA,0.27019005837679,0.356371340575687,0.637930214018008,0.841078200850438,0.0770554890556935,0.0825661671262454,887.281959212858,706.656413796203,-0.621929435530648,0.631881250098635,18.4494794811781,20.0703846651057,-16.236950319869,-15.5555840261054,0.697000330831121,-0.142707376149689,0.0861812821988977,0.00287270940662992,0.203147986832431,0.00677159956108102,0.00551067807055189,0.000183689269018396,-180.625545416655,-6.02085151388848,1.25381068562928,0.0417936895209761,1.62090518392764,0.0540301727975881,0.681366293763558,0.0227122097921186,-0.83970770698081,-0.0279902568993603,-3.78631715246221,1.37404600065519,3,0,0,6,3,1
